ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
402261,80,E,4,95,,38.2,65.667,38.47285,-121.823777,0.75,ML,3,4A5344 loc 66,DS953,N3-E-23-080-03820,991100,425564.0
402260,80,W,4,95,,38.24,65.707,38.473363,-121.823474,0.75,ML,3,4A5344 loc 66,DS953,N3-W-23-080-03824,991099,429111.0
402262,80,W,4,95,,39,66.467,38.481149,-121.813543,0.77,ML,3,4A5344 loc 67,DS954,N3-W-23-080-03900,991101,429116.0
402263,80,E,4,95,,39,66.467,38.481035999999996,-121.813375,0.7,ML,3,4A5344 loc 67,DS954,N3-E-23-080-03900,991102,425569.0
402264,80,E,4,95,,39.6,67.067,38.487178,-121.805573,0.5,ML,3,4A5344 LOC 68,DS955,N3-E-23-080-03960,991103,425574.0
402265,80,W,4,95,,39.78,67.247,38.489167,-121.80338400000001,0.75,ML,3,4A5344 LOC 69,DS956,N3-W-23-080-03978,991104,429121.0
402266,80,E,4,95,,40,67.467,38.491377,-121.800506,0.45,ML,3,4A5344 LOC 70,DS957,N3-E-23-080-04000,991105,425579.0
402268,80,E,4,95,,40.5,67.967,38.49691,-121.79457,0.7,ML,3,4A5344 loc 72,DS958,N3-E-23-080-04050,991107,425584.0
402267,80,W,4,95,,40.5,67.967,38.49707,-121.79472,0.84,ML,3,4A5344 loc 72,DS958,N3-W-23-080-04050,991106,429126.0
402270,80,E,4,95,,41.4,68.867,38.506840999999994,-121.78383899999999,0.7,ML,4,4A5344 loc 73,DS959,N4-E-23-080-04140,991109,428132.0
402269,80,W,4,95,,41.46,68.92699999999999,38.507719,-121.78334,0.75,ML,4,4A5344 loc 73,DS959,N4-W-23-080-04146,991108,427950.0
402272,80,E,4,95,,41.9,69.367,38.512372,-121.777898,2.75,ML,5,4A5344 loc 76,DS960,N5-E-23-080-04190,991111,424919.0
402271,80,W,4,95,,42,69.467,38.513711,-121.776971,2.77,ML,5,4A5344 loc 76,DS960,N5-W-23-080-04200,991110,425094.0
318106,80,W,3,113,,.145,72.332,38.539167,-121.73684899999999,,FR,1,EB Richard Blvd,,,,
318104,80,W,3,113,,.145,72.332,38.539167,-121.73684899999999,,OR,1,EB Richard Blvd,,,,
318105,80,W,3,113,,.263,72.45,38.540415,-121.735368,,FR,1,WB Richard Blvd,,,,
318103,80,W,3,113,,.263,72.45,38.540415,-121.735368,,OR,1,WB Richard Blvd,,,,
318102,80,W,3,113,,.274,72.461,38.54053,-121.735229,0.7490000000000001,ML,3,Richard Blvd,,,,
318114,80,E,3,113,,.274,72.461,38.540546,-121.734852,,FR,1,Richard Blvd,,,,
318113,80,E,3,113,,.323,72.51,38.541047,-121.73425,0.774,ML,3,Richard Blvd,,,,
318115,80,E,3,113,,.405,72.592,38.541883,-121.73323899999998,,OR,1,Richard Blvd,,,,
316773,80,E,3,113,,1.25,73.437,38.547128,-121.71973,0.838,ML,3,E. of Pole Line Rd.,,,,
316778,80,W,3,113,,1.25,73.437,38.547332,-121.719907,0.863,ML,3,E. of Pole Line Rd.,,,,
318017,80,E,3,113,,2,74.187,38.550149,-121.706428,0.675,ML,3,West of Mace Blvd,,,,
318022,80,W,3,113,,2,74.187,38.550321000000004,-121.70660900000001,0.6,ML,3,West of Mace Blvd,,,,
314015,80,E,3,113,18100.0,2.447,74.634,38.551854999999996,-121.69846899999999,,FR,2,SB Mace Blvd.,R197,,,
313979,80,W,3,113,18100.0,2.45,74.637,38.552058,-121.698617,0.75,ML,3,Mace Blvd.,R196,,,
313980,80,W,3,113,18100.0,2.45,74.637,38.552058,-121.698617,,OR,2,Mace Blvd.,R196,,,
314013,80,E,3,113,18100.0,2.6,74.78699999999999,38.552240999999995,-121.69568799999999,0.4,ML,3,SB Mace Blvd.,R197,,,
314014,80,E,3,113,18100.0,2.6,74.78699999999999,38.552240999999995,-121.69568799999999,,OR,2,SB Mace Blvd.,R197,,,
313981,80,W,3,113,18100.0,2.729,74.916,38.552944000000004,-121.693607,,FR,2,Mace Blvd.,R196,,,
314025,80,E,3,113,18100.0,2.8,74.987,38.553123,-121.692178,0.45,ML,3,NB Mace Blvd.,R198,,,
314026,80,E,3,113,18100.0,2.8,74.987,38.553123,-121.692178,,OR,2,NB Mace Blvd.,R198,,,
316783,80,E,3,113,,3.5,75.687,38.556203000000004,-121.67986699999999,0.6,ML,3,E. of Mace Blvd,,,,
316788,80,W,3,113,,3.5,75.687,38.556385,-121.680098,0.775,ML,3,E. of Mace Blvd,,,,
318067,80,E,3,113,,4,76.187,38.558143,-121.67096299999999,0.501,ML,3,W of CR 105d,,,,
318068,80,W,3,113,,4,76.187,38.558305,-121.67120600000001,0.501,ML,3,W of CR 105d,,,,
318077,80,W,3,113,,4.501,76.688,38.559664,-121.662131,0.852,ML,3,E of CR 105d,,,,
318076,80,E,3,113,,4.501,76.688,38.559509999999996,-121.661873,0.852,ML,3,E of CR 105d,,,,
318055,80,E,3,113,,5.645,77.832,38.562834,-121.64116200000001,,OR,1,W of Webster UC,,,,
318052,80,W,3,113,,5.704,77.891,38.563162,-121.640398,1.2229999999999999,ML,3,W of Webster UC,,,,
318053,80,E,3,113,,5.704,77.891,38.563016999999995,-121.640097,1.2229999999999999,ML,3,W of Webster UC,,,,
318054,80,W,3,113,,5.769,77.956,38.563359000000005,-121.639225,,FR,1,W of Webster UC,,,,
316803,80,E,3,113,,6.947,79.134,38.567081,-121.617723,1.62,ML,3,E. of Webster UC,,,,
316808,80,W,3,113,,6.947,79.134,38.567246999999995,-121.61782,1.62,ML,3,E. of Webster UC,,,,
317028,80,E,3,113,84816.0,8.946,81.133,38.573494000000004,-121.58170600000001,1.079,ML,3,JWO Enterprise BL,,,,
317033,80,W,3,113,84816.0,8.946,81.133,38.573676,-121.58176100000001,1.075,ML,3,JWO Enterprise BL,,,,
318126,80,W,3,113,84816.0,9.099,81.286,38.574177,-121.57890400000001,0.29100000000000004,ML,4,Enterprise Blvd,,,,
314549,80,E,3,113,84816.0,9.105,81.292,38.57397,-121.578763,,OR,2,Enterprise Blvd,,,,
314548,80,E,3,113,84816.0,9.105,81.292,38.57397,-121.578763,0.7759999999999999,ML,5,Enterprise Blvd,,,,
318127,80,W,3,113,84816.0,9.111,81.298,38.574215,-121.57867900000001,,OR,1,Enterprise Blvd,,,,
318142,80,W,3,113,84816.0,R9.53,81.717,38.575333,-121.571347,0.7,ML,4,E of Enterprise BL,,,,
318738,80,W,3,113,84816.0,R9.531,81.718,38.575334999999995,-121.571329,,FR,1,W. Capitol Ave,,,,
